CoC Number,under18,binary
MD-513,0.14767932489451477,1.0
MD-514,0.2222222222222222,0.99335232668566
MD-600,0.3076923076923077,0.9962476547842402
MD-601,0.17728055077452667,0.9965576592082617
ME-500,0.2432554976195874,0.9848107005214237
MI-500,0.305993690851735,0.9974763406940063
MI-501,0.25014784151389713,0.9964518036664696
MI-503,0.29411764705882354,1.0
MI-504,0.346875,0.984375
MI-505,0.16666666666666666,0.9972222222222222
MI-506,0.2442528735632184,0.9875478927203065
MI-507,0.21106557377049182,0.9938524590163934
MI-508,0.2524271844660194,0.9941747572815534
MI-509,0.17061611374407584,0.985781990521327
MI-510,0.3706070287539936,0.9968051118210862
MI-511,0.310126582278481,1.0
MI-512,0.14634146341463414,0.9939024390243902
MI-514,0.1834862385321101,1.0
MI-515,0.18018018018018017,0.990990990990991
MI-516,0.26666666666666666,1.0
MI-517,0.14444444444444443,0.9888888888888889
MI-518,0.3917525773195876,0.9896907216494846
MI-519,0.175,0.995
MI-523,0.6176470588235294,0.9852941176470589
MN-500,0.248319641523525,0.9925317401045557
MN-501,0.18096906012842964,0.9918272037361354
MN-502,0.2927835051546392,0.9979381443298969
MN-503,0.25335120643431636,0.9973190348525469
MN-504,0.336283185840708,0.9823008849557522
MN-505,0.2740174672489083,0.9967248908296943
MN-506,0.35789473684210527,0.9859649122807017
MN-508,0.3715415019762846,0.9960474308300395
MN-509,0.21441441441441442,0.9855855855855856
MN-511,0.3583815028901734,1.0
MO-500,0.32345013477088946,0.9892183288409704
MO-501,0.15954664341761116,0.988666085440279
MO-503,0.30823529411764705,0.9858823529411764
MO-600,0.172147001934236,0.9922630560928434
MO-602,0.14285714285714285,0.9956709956709957
MO-603,0.18243243243243243,1.0
MO-604a,0.14077397644419518,0.981491867638811
MO-606,0.1935073201782304,0.9923615531508593
MP-500,0.3388566694283347,1.0
MS-500,0.039755351681957186,0.9801223241590215
MS-501,0.0847953216374269,0.9941520467836257
MS-503,0.075,1.0
MT-500,0.1665615141955836,0.9930599369085173
NC-500,0.1561771561771562,1.0
NC-501,0.04709576138147567,0.9937205651491365
NC-502,0.16339869281045752,0.9934640522875817
NC-503,0.1979124849458049,0.9947812123645122
NC-504,0.14788732394366197,0.9953051643192489
NC-505,0.1902328222600795,0.9965928449744463
NC-506,0.1440922190201729,0.9394812680115274
NC-507,0.30964797913950454,0.9876140808344198
NC-509,0.13682092555331993,0.9919517102615694
NC-511,0.06315789473684211,1.0
NC-513,0.09774436090225563,0.9924812030075187
NC-516,0.22797927461139897,0.9792746113989638
ND-500,0.1901639344262295,0.9901639344262295
NE-500,0.21991701244813278,0.9896265560165975
NE-501,0.12332838038632987,0.9918276374442794
NE-502,0.24162679425837322,0.9952153110047847
NH-500,0.17038777908343125,0.9894242068155111
NH-501,0.1968810916179337,0.9961013645224172
NH-502,0.2863070539419087,0.983402489626556
NJ-500,0.0641399416909621,1.0
NJ-501,0.3464052287581699,1.0
NJ-502,0.28888888888888886,1.0
NJ-503,0.15694164989939638,0.9969818913480886
NJ-504,0.18756530825496343,0.9968652037617555
NJ-506,0.12180451127819548,0.9984962406015038
NJ-507,0.2354948805460751,0.9982935153583617
NJ-508,0.24061810154525387,1.0
NJ-509,0.2564102564102564,0.9971509971509972
NJ-510,0.33651551312649164,0.9952267303102625
NJ-511,0.17647058823529413,1.0
NJ-512,0.3,1.0
NJ-513,0.31363636363636366,1.0
NJ-514,0.2176360225140713,0.9962476547842402
NJ-515,0.2162962962962963,1.0
NJ-516,0.18789808917197454,0.9968152866242038
NM-500,0.21299921691464369,0.9772905246671887
NM-501,0.1652377240841777,0.9914263445050663
NV-500,0.06200177147918512,0.9914968999114261
NV-501,0.09158878504672897,0.9887850467289719
NV-502,0.06793478260869565,0.9945652173913043
NY-500,0.23796791443850268,0.9933155080213903
NY-501,0.18712273641851107,1.0
NY-503,0.17574931880108993,0.9945504087193461
NY-505,0.21348314606741572,0.9915730337078652
NY-507,0.13494809688581316,1.0
NY-508,0.24065420560747663,0.9988317757009346
NY-510,0.06578947368421052,0.9802631578947368
NY-511,0.16563146997929606,0.9979296066252588
NY-512,0.24324324324324326,0.9864864864864865
NY-513,0.22849462365591397,0.9973118279569892
NY-514,0.2962962962962963,1.0
NY-518,0.18442622950819673,0.9918032786885246
NY-519,0.17543859649122806,1.0
NY-520,0.09302325581395349,0.9534883720930233
NY-522,0.007692307692307693,1.0
NY-523,0.17567567567567569,0.9819819819819819
NY-525,0.24257425742574257,0.995049504950495
NY-600,0.27456338939197933,0.992432082794308
