CoC Number,under18,white
MO-606,0.1935073201782304,0.7542966263526416
MP-500,0.3388566694283347,0.00579950289975145
MS-500,0.039755351681957186,0.345565749235474
MS-501,0.0847953216374269,0.43859649122807015
MS-503,0.075,0.685
MT-500,0.1665615141955836,0.7381703470031545
NC-500,0.1561771561771562,0.40093240093240096
NC-501,0.04709576138147567,0.7378335949764521
NC-502,0.16339869281045752,0.29411764705882354
NC-503,0.1979124849458049,0.5451625853071056
NC-504,0.14788732394366197,0.3004694835680751
NC-505,0.1902328222600795,0.1788756388415673
NC-506,0.1440922190201729,0.5677233429394812
NC-507,0.30964797913950454,0.18709256844850064
NC-509,0.13682092555331993,0.6297786720321932
NC-511,0.06315789473684211,0.20842105263157895
NC-513,0.09774436090225563,0.39849624060150374
NC-516,0.22797927461139897,0.8186528497409327
ND-500,0.1901639344262295,0.419672131147541
NE-500,0.21991701244813278,0.8443983402489627
NE-501,0.12332838038632987,0.6166419019316494
NE-502,0.24162679425837322,0.5789473684210527
NH-500,0.17038777908343125,0.9236192714453584
NH-501,0.1968810916179337,0.8440545808966862
NH-502,0.2863070539419087,0.8921161825726142
NJ-500,0.0641399416909621,0.4518950437317784
NJ-501,0.3464052287581699,0.5294117647058824
NJ-502,0.28888888888888886,0.39658119658119656
NJ-503,0.15694164989939638,0.46680080482897385
NJ-504,0.18756530825496343,0.17920585161964472
NJ-506,0.12180451127819548,0.43759398496240604
NJ-507,0.2354948805460751,0.4880546075085324
NJ-508,0.24061810154525387,0.4503311258278146
NJ-509,0.2564102564102564,0.6495726495726496
NJ-510,0.33651551312649164,0.6133651551312649
NJ-511,0.17647058823529413,0.3716577540106952
NJ-512,0.3,0.4
NJ-513,0.31363636363636366,0.36818181818181817
NJ-514,0.2176360225140713,0.29080675422138835
NJ-515,0.2162962962962963,0.32296296296296295
NJ-516,0.18789808917197454,0.7452229299363057
NM-500,0.21299921691464369,0.6350822239624119
NM-501,0.1652377240841777,0.6749805144193297
NV-500,0.06200177147918512,0.5243578387953941
NV-501,0.09158878504672897,0.7370716510903427
NV-502,0.06793478260869565,0.8804347826086957
NY-500,0.23796791443850268,0.4050802139037433
NY-501,0.18712273641851107,0.8128772635814889
NY-503,0.17574931880108993,0.40735694822888285
NY-505,0.21348314606741572,0.5014044943820225
NY-507,0.13494809688581316,0.41522491349480967
NY-508,0.24065420560747663,0.46845794392523366
NY-510,0.06578947368421052,0.6052631578947368
NY-511,0.16563146997929606,0.8115942028985508
NY-512,0.24324324324324326,0.42567567567567566
NY-513,0.22849462365591397,0.7634408602150538
NY-514,0.2962962962962963,0.8148148148148148
NY-518,0.18442622950819673,0.6680327868852459
NY-519,0.17543859649122806,0.7105263157894737
NY-520,0.09302325581395349,0.7441860465116279
NY-522,0.007692307692307693,0.8923076923076924
NY-523,0.17567567567567569,0.8828828828828829
NY-525,0.24257425742574257,0.7244224422442245
NY-600,0.27456338939197933,0.17296248382923674
NY-601,0.23113207547169812,0.4669811320754717
NY-602,0.29793510324483774,0.4749262536873156
NY-603,0.3833223467369809,0.3582729070533949
NY-604,0.3672566371681416,0.2971976401179941
NY-606,0.09433962264150944,0.5
NY-608,0.2567237163814181,0.6356968215158925
OH-500,0.20259019426456984,0.3071230342275671
OH-501,0.2651821862348178,0.4574898785425101
OH-502,0.15374841168996187,0.25667090216010163
OH-503,0.22384937238493724,0.3075313807531381
OH-504,0.21839080459770116,0.47701149425287354
OH-505,0.12042682926829268,0.43902439024390244
OH-506,0.13378684807256236,0.546485260770975
OH-507,0.1992638036809816,0.771042944785276
OH-508,0.3643724696356275,0.41295546558704455
OK-500,0.07476635514018691,0.5467289719626168
OK-501,0.13358419567262464,0.5380997177798683
OK-502,0.1135175504107543,0.513816280806572
OK-503,0.10648148148148148,0.7083333333333334
OK-504,0.14213197969543148,0.6852791878172588
OK-505,0.3665480427046263,0.5160142348754448
