CoC Number,under18,between,over24
NM-500,0.21299921691464369,0.06421299921691465,0.7227877838684417
NM-501,0.1652377240841777,0.08573655494933749,0.7490257209664848
NV-500,0.06200177147918512,0.05562444641275465,0.8823737821080603
NV-501,0.09158878504672897,0.037383177570093455,0.8710280373831776
NV-502,0.06793478260869565,0.04891304347826087,0.8831521739130435
NY-500,0.23796791443850268,0.07219251336898395,0.6898395721925134
NY-501,0.18712273641851107,0.1267605633802817,0.6861167002012073
NY-503,0.17574931880108993,0.05313351498637602,0.771117166212534
NY-505,0.21348314606741572,0.0997191011235955,0.6867977528089888
NY-507,0.13494809688581316,0.09342560553633218,0.7716262975778547
NY-508,0.24065420560747663,0.07009345794392523,0.6892523364485982
NY-510,0.06578947368421052,0.18421052631578946,0.75
NY-511,0.16563146997929606,0.08902691511387163,0.7453416149068323
NY-512,0.24324324324324326,0.10135135135135136,0.6554054054054054
NY-513,0.22849462365591397,0.07795698924731183,0.6935483870967742
NY-514,0.2962962962962963,0.1574074074074074,0.5462962962962963
NY-518,0.18442622950819673,0.10655737704918032,0.7090163934426229
NY-519,0.17543859649122806,0.09649122807017543,0.7280701754385965
NY-520,0.09302325581395349,0.09302325581395349,0.813953488372093
NY-522,0.007692307692307693,0.1076923076923077,0.8846153846153846
NY-523,0.17567567567567569,0.0990990990990991,0.7252252252252253
NY-525,0.24257425742574257,0.11716171617161716,0.6402640264026402
NY-600,0.27456338939197933,0.08701487710219923,0.6384217335058214
NY-601,0.23113207547169812,0.0770440251572327,0.6918238993710691
NY-602,0.29793510324483774,0.0855457227138643,0.616519174041298
NY-603,0.3833223467369809,0.06591957811470006,0.5507580751483191
NY-604,0.3672566371681416,0.07079646017699115,0.5619469026548672
NY-606,0.09433962264150944,0.11320754716981132,0.7924528301886793
NY-608,0.2567237163814181,0.09290953545232274,0.6503667481662592
OH-500,0.20259019426456984,0.08788159111933395,0.7095282146160962
OH-501,0.2651821862348178,0.06275303643724696,0.6720647773279352
OH-502,0.15374841168996187,0.06925031766200762,0.7770012706480305
OH-503,0.22384937238493724,0.08629707112970711,0.6898535564853556
OH-504,0.21839080459770116,0.07471264367816093,0.7068965517241379
OH-505,0.12042682926829268,0.15396341463414634,0.725609756097561
OH-506,0.13378684807256236,0.061224489795918366,0.8049886621315193
OH-507,0.1992638036809816,0.09374233128834356,0.7069938650306749
OH-508,0.3643724696356275,0.02834008097165992,0.6072874493927125
OK-500,0.07476635514018691,0.12149532710280374,0.8037383177570093
OK-501,0.13358419567262464,0.12982126058325494,0.7365945437441204
OK-502,0.1135175504107543,0.08588498879761015,0.8005974607916355
OK-503,0.10648148148148148,0.10185185185185185,0.7916666666666666
OK-504,0.14213197969543148,0.030456852791878174,0.8274111675126904
OK-505,0.3665480427046263,0.010676156583629894,0.6227758007117438
OK-506,0.16417910447761194,0.08208955223880597,0.753731343283582
OK-507,0.13548387096774195,0.12580645161290321,0.7387096774193549
OR-500,0.10416666666666667,0.03854166666666667,0.8572916666666667
OR-501,0.08071920428462127,0.050879877582249426,0.8684009181331293
OR-502,0.1286970423661071,0.07114308553157474,0.8001598721023181
OR-503,0.16335540838852097,0.07873436350257543,0.7579102281089036
OR-504,0.05484764542936288,0.050415512465373964,0.8947368421052632
OR-505,0.16588612275080108,0.06112891298989401,0.7729849642593049
OR-506,0.21163366336633663,0.054455445544554455,0.7339108910891089
OR-507,0.19089316987740806,0.0542907180385289,0.7548161120840631
PA-500,0.1746491423479617,0.08153263533080864,0.7438182223212296
PA-501,0.27423167848699764,0.06382978723404255,0.6619385342789598
PA-502,0.34328358208955223,0.08059701492537313,0.5761194029850746
PA-503,0.2733333333333333,0.12666666666666668,0.6
PA-504,0.2746478873239437,0.03873239436619718,0.6866197183098591
PA-505,0.2462686567164179,0.02736318407960199,0.7263681592039801
PA-506,0.23036649214659685,0.09598603839441536,0.6736474694589878
PA-508,0.2712765957446808,0.10638297872340426,0.6223404255319149
PA-509,0.27161572052401745,0.07598253275109171,0.6524017467248908
