CoC Name,CoC Number,Year,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Male,Overall Homeless - Female,Overall Homeless - Transgender,Overall Homeless - Nonbinary Gender,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian or Asian American,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Hispanic/Latino,Overall Homeless - Non-Hispanic/Non-Latino,Label
Fayetteville/Northwest Arkansas CoC,AR-501,2022,343.0,0.2332361516034985,0.0466472303206997,0.7201166180758017,0.6297376093294461,0.358600583090379,0.0087463556851311,0.0029154518950437,0.7755102040816326,0.1224489795918367,0.0116618075801749,0.0291545189504373,0.0087463556851311,0.0524781341107871,0.0932944606413994,0.9067055393586004,1
Arkansas  Balance of State  CoC,AR-503,2022,814.0,0.0614250614250614,0.1068796068796068,0.8316953316953317,0.6068796068796068,0.3894348894348894,0.0012285012285012,0.0024570024570024,0.812039312039312,0.1621621621621621,0.0,0.011056511056511,0.0,0.0147420147420147,0.0835380835380835,0.9164619164619164,1
Southeast Arkansas CoC,AR-505,2022,69.0,0.144927536231884,0.1014492753623188,0.7536231884057971,0.6521739130434783,0.3478260869565217,0.0,0.0,0.5652173913043478,0.391304347826087,0.0,0.0,0.0,0.0434782608695652,0.0869565217391304,0.9130434782608696,3
Fort Smith CoC,AR-508,2022,374.0,0.0,0.0,1.0,0.7005347593582888,0.2994652406417112,0.0,0.0,0.7941176470588235,0.1310160427807486,0.0,0.0454545454545454,0.0,0.0294117647058823,0.0427807486631016,0.9572192513368984,1
Arizona Balance of State CoC,AZ-500,2022,2300.0,0.1091304347826087,0.0478260869565217,0.8430434782608696,0.6117391304347826,0.3817391304347826,0.0013043478260869,0.0052173913043478,0.7052173913043478,0.0534782608695652,0.0017391304347826,0.1095652173913043,0.0091304347826086,0.1208695652173913,0.1713043478260869,0.828695652173913,1
Tucson/Pima County CoC,AZ-501,2022,2227.0,0.1041760215536596,0.1010327795240233,0.794791198922317,0.5985630893578806,0.3902110462505613,0.0062864840592725,0.0049393803322855,0.6946564885496184,0.1293219577907499,0.0062864840592725,0.0745397395599461,0.0125729681185451,0.0826223619218679,0.3960484957341715,0.6039515042658284,2
"Phoenix, Mesa/Maricopa County CoC",AZ-502,2022,9026.0,0.1373808996233104,0.0829824950144028,0.7796366053622867,0.6485707954797253,0.3475515178373587,0.0022158209616662,0.0013294925769997,0.6250830932860625,0.2580323509860403,0.0076445823177487,0.057722136051407,0.0064258807888322,0.0450919565699091,0.2387547086195435,0.7612452913804565,2
San Jose/Santa Clara City & County CoC,CA-500,2022,10028.0,0.0537495013960909,0.1186677303550059,0.8275827682489031,0.6081970482648584,0.3711607499002792,0.0105704028719585,0.0088751495811727,0.5991224571200638,0.1422018348623853,0.0581372157957718,0.0724970083765456,0.0248304746709214,0.1032110091743119,0.4710809732748304,0.5289190267251695,2
San Francisco CoC,CA-501,2022,7754.0,0.0545524890379159,0.1327057002837245,0.8127418106783596,0.6192932679907145,0.3382770183131287,0.0288883157080216,0.0108331183905081,0.4271343822543204,0.381351560484911,0.0550683518184163,0.0433324735620325,0.0292752127933969,0.0638380190869228,0.3039721434098529,0.696027856590147,2
"Oakland, Berkeley/Alameda County CoC",CA-502,2022,9747.0,0.0598132758797578,0.082486919052016,0.8576998050682261,0.6192674669128962,0.3668821175746383,0.0050271878526726,0.0053349748640607,0.3862726992920898,0.4291576895455011,0.0461680517082179,0.0428849902534113,0.026880065661229,0.0686365035395506,0.245716630758182,0.754283369241818,3
Sacramento City & County CoC,CA-503,2022,9278.0,0.0838542789394266,0.0685492563052382,0.8475964647553352,0.6520801896960552,0.325932312998491,0.0125026945462384,0.0094848027592153,0.4646475533520155,0.3125673636559603,0.024250916145721,0.0730760939857727,0.0175684414744557,0.1078896313860745,0.1990730760939857,0.8009269239060143,3
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,2022,2893.0,0.0366401659177324,0.1752506049083995,0.7881092291738679,0.6270307639128931,0.3473902523332181,0.0134808157621845,0.0082958866228828,0.6685101970273073,0.0798479087452471,0.0134808157621845,0.094365710335292,0.0155547874179052,0.1282405807120636,0.2474939509160041,0.7525060490839959,1
Richmond/Contra Costa County CoC,CA-505,2022,3093.0,0.0342709343679275,0.0737148399612027,0.8920142256708697,0.5473650177820886,0.409957969608794,0.0016165535079211,0.0084060782411897,0.5134173941157453,0.3187843517620433,0.0093760103459424,0.0934367927578402,0.0255415454251535,0.0394439055932751,0.2392499191723246,0.7607500808276754,3
"Salinas/Monterey, San Benito Counties CoC",CA-506,2022,2404.0,0.1002495840266222,0.0940099833610648,0.8057404326123128,0.7142262895174709,0.2728785357737104,0.0049916805324459,0.0079034941763727,0.5894342762063228,0.1289517470881863,0.0461730449251247,0.1281198003327787,0.0270382695507487,0.0802828618968386,0.5607321131447587,0.4392678868552412,2
Marin County CoC,CA-507,2022,1121.0,0.1239964317573595,0.1248884924174843,0.7511150758251561,0.5914362176628011,0.3907225691347011,0.0071364852809991,0.0107047279214986,0.6503122212310437,0.2185548617305976,0.0223015165031222,0.0419268510258697,0.0169491525423728,0.0499553969669937,0.231935771632471,0.768064228367529,1
Watsonville/Santa Cruz City & County CoC,CA-508,2022,2299.0,0.0400173988690735,0.103088299260548,0.8568943018703784,0.6637668551544149,0.3223140495867768,0.0047846889952153,0.0091344062635928,0.7394519356241844,0.117442366246194,0.0100043497172683,0.0343627664201826,0.0047846889952153,0.0939538929969552,0.3901696389734667,0.6098303610265333,2
Mendocino County CoC,CA-509,2022,830.0,0.0855421686746988,0.0518072289156626,0.8626506024096385,0.6325301204819277,0.3192771084337349,0.0192771084337349,0.0253012048192771,0.8397590361445784,0.0228915662650602,0.008433734939759,0.0879518072289156,0.008433734939759,0.0325301204819277,0.1530120481927711,0.846987951807229,1
